id,affected_count,total_amount,naic_sector,naic_national_industry,sector,breach_date,cause
168,263,89235,92,926110,Public,2015-05-27,Internal - Trusted Third Party (TTP)
169,31,3180,33,334419,Manufacturing,2014-09-13,External - Terrorist
170,2176,1604230,52,522110,Financial,2017-01-20,External - Vendor
171,15,17846,45,453991,Retail,2016-02-27,NA
172,103,36990,51,511210,Information,2016-12-06,External - Hacktivist
173,12,3150,54,541211,Professional,2012-09-18,External - Nation State
174,0,0,92,921190,Public,2011-07-08,External - Nation State
175,4751,55750276,44,446110,Retail,2015-07-10,NA
176,2,3382,23,237210,Construction,2014-11-12,External - Nation State
177,0,0,33,334510,Manufacturing,2016-07-01,External - Terrorist
178,0,0,92,926110,Public,2016-08-30,External - Vendor
179,33,683,54,541110,Professional,2013-06-04,External - Vendor
180,467,1073311,56,561990,Administrative,2015-02-12,External - Hacktivist
181,19980,75081151,53,531110,Real Estate,2013-08-01,External - Criminal Organization
182,29,304596,92,921110,Public,2015-01-18,NA
183,10,1399483,62,622110,Healthcare,2020-05-19,Internal - Trusted Third Party (TTP)
184,1,9465,61,611210,Education,2019-02-18,Internal - Consultant
185,37,21481,51,519190,Information,2019-08-16,External - Other
186,82,2649,54,541618,Professional,2011-03-23,External - Other
187,113,1066,61,611310,Education,2013-04-19,External - Nation State
188,12,77160,53,531210,Real Estate,2020-08-04,Internal - Consultant
189,4121,529781,33,332999,Manufacturing,2016-12-28,External - Former Consultant
190,10293,250836,54,541611,Professional,2018-07-13,External - Nation State
191,1127,725379,56,561990,Administrative,2013-07-06,Internal - Consultant
192,13,64780,62,621210,Healthcare,2011-08-10,External - Nation State
193,77,16437,62,622110,Healthcare,2017-03-08,External - Other
194,173,13125,51,518210,Information,2014-12-04,External - Former Consultant
195,2470,42609,52,523991,Financial,2018-08-30,Internal - Employee
196,40,697200,52,522291,Financial,2018-06-30,External - Terrorist
197,98,328588,42,423690,Trade,2012-08-14,Internal - Trusted Third Party (TTP)
198,2,2173,56,561440,Administrative,2016-06-24,Internal - Other
199,0,0,61,611310,Education,2013-01-19,External - Terrorist
200,270,131822,54,541110,Professional,2013-08-16,External - Former Employee
201,427,3171685,42,423840,Trade,2011-10-17,External - Terrorist
202,0,0,54,541110,Professional,2020-05-07,External - Criminal Organization
203,41,257117,44,446110,Retail,2019-06-08,External - Criminal Organization
204,11,7970,62,623110,Healthcare,2014-06-11,External - Hacktivist
205,0,0,51,517311,Information,2011-01-19,Internal - Consultant
206,1,2947,32,325411,Manufacturing,2017-11-15,External - Terrorist
207,0,0,51,511120,Information,2013-03-28,Internal - Employee
208,0,0,62,621340,Healthcare,2012-04-30,Internal - Employee
209,1851,763805,61,611110,Education,2015-06-24,External - Former Employee
210,7,21666,32,324110,Manufacturing,2017-11-02,NA
211,1674,1232,62,621111,Healthcare,2015-11-01,External - Other
212,5,5436301,44,446110,Retail,2018-06-02,External - Terrorist
213,13790,4580213,56,561920,Administrative,2017-01-26,External - Former Employee
214,6,1638174,54,541219,Professional,2016-01-04,Internal - Trusted Third Party (TTP)
215,0,0,56,561520,Administrative,2016-04-14,Internal - Organization
216,248,201075,92,921190,Public,2013-02-28,Internal - Organization
217,1,1183,52,522310,Financial,2019-11-11,External - Other
218,0,0,81,811111,Other,2013-09-26,Internal - Organization
219,9,1770556,56,561990,Administrative,2017-01-26,External - Vendor
220,11,1698917,32,325413,Manufacturing,2014-01-10,External - Criminal Organization
221,15480,360259,56,561499,Administrative,2011-10-28,Internal - Other
222,232,862827,11,111219,Agriculture,2018-05-24,NA
223,244,152235,61,611310,Education,2014-02-10,External - Hacktivist
224,206,149997,72,721110,Hospitality,2014-08-09,External - Hacktivist
225,2486785,789713,54,541110,Professional,2011-09-26,NA
226,1,33016,71,713920,Entertainment,2014-01-05,External - Former Consultant
227,0,0,61,611310,Education,2016-04-11,External - Former Employee
228,9977,1404693,54,541715,Professional,2017-07-06,Internal - Consultant
229,1,12,52,522110,Financial,2014-11-15,NA
230,105,2249705,62,621111,Healthcare,2019-06-25,NA
231,585,2757828,51,515120,Information,2020-12-28,External - Nation State
232,13,2380,54,541213,Professional,2017-04-05,External - Other
233,2339,1643705,54,541511,Professional,2020-07-29,Internal - Employee
234,1,234574,71,711219,Entertainment,2013-04-24,External - Criminal Organization
235,138,439518701,56,561440,Administrative,2017-09-01,Internal - Employee
236,41,231,54,541219,Professional,2016-02-03,External - Other
237,14,1247,54,541110,Professional,2018-05-13,Internal - Organization
238,3516,196877,51,512110,Information,2014-02-04,External - Former Consultant
239,1,10212,61,611519,Education,2017-10-06,Internal - Other
240,1093,4450,62,621111,Healthcare,2018-10-08,External - Terrorist
241,376,109912,54,541211,Professional,2015-12-06,External - Hacktivist
242,31,2103518,81,813940,Other,2011-04-23,Internal - Organization
243,27,1832011,92,922120,Public,2011-11-03,External - Vendor
244,11,699473,23,237210,Construction,2019-03-14,Internal - Trusted Third Party (TTP)
245,11,14742,81,813410,Other,2012-07-30,External - Nation State
246,83,1934125,54,541110,Professional,2020-04-06,External - Former Employee
247,4,397484,56,561790,Administrative,2018-09-18,External - Vendor
248,103,336886,61,611310,Education,2018-11-10,External - Hacktivist
249,4,24792,61,611110,Education,2019-05-22,NA
250,246,41298,56,561499,Administrative,2019-04-05,External - Hacktivist
251,16,166494,62,621491,Healthcare,2015-06-20,NA
252,1071,21985,52,523120,Financial,2017-12-25,External - Criminal Organization
253,0,0,44,446110,Retail,2020-08-01,Internal - Employee
254,12741,1418462,44,446110,Retail,2017-07-12,Internal - Consultant
255,1310,84850,72,722513,Hospitality,2016-12-12,Internal - Trusted Third Party (TTP)
256,136,46816,11,112519,Agriculture,2015-04-13,External - Nation State
257,392,7279105,45,453998,Retail,2016-12-28,NA
258,6,4078,92,921110,Public,2020-02-02,External - Other
259,273,1143736,62,621111,Healthcare,2017-01-25,Internal - Organization
260,7,184252,92,921110,Public,2014-07-08,Internal - Employee
261,0,0,32,323111,Manufacturing,2013-08-15,External - Terrorist
262,189,17829,52,524210,Financial,2020-12-18,External - Former Consultant
263,43,41355,45,454110,Retail,2014-08-02,External - Criminal Organization
264,299,12520,61,611310,Education,2019-01-28,External - Hacktivist
265,50,1067463,56,561990,Administrative,2017-04-12,External - Former Employee
266,2,124534,53,531210,Real Estate,2020-09-13,External - Terrorist
267,62,2752,52,522110,Financial,2020-08-12,Internal - Trusted Third Party (TTP)
268,8,101130,56,561440,Administrative,2017-01-16,External - Nation State
269,23784,9696747,72,722511,Hospitality,2016-03-22,External - Criminal Organization
270,4672,6833341,54,541715,Professional,2015-09-17,External - Terrorist
271,0,0,62,622110,Healthcare,2017-11-19,Internal - Trusted Third Party (TTP)
272,0,0,51,512110,Information,2015-05-19,External - Criminal Organization
273,4,626,62,622310,Healthcare,2019-07-27,Internal - Trusted Third Party (TTP)
274,5,401,62,621111,Healthcare,2012-04-06,External - Nation State
275,13,1202,71,713940,Entertainment,2013-06-19,External - Other
276,5,13673,56,561990,Administrative,2019-12-16,Internal - Employee
277,6146,30427964,61,611310,Education,2019-12-27,Internal - Employee
278,2,87880,52,522390,Financial,2017-07-31,External - Former Consultant
279,3,83149,56,561110,Administrative,2019-01-07,NA
280,0,0,81,813319,Other,2013-06-22,Internal - Trusted Third Party (TTP)
281,16881,509835,23,238220,Construction,2016-05-11,External - Former Employee
282,1,69900,54,541110,Professional,2019-12-31,Internal - Other
283,8,87427,72,722511,Hospitality,2013-12-23,External - Former Employee
284,759,28821,62,621999,Healthcare,2016-02-07,External - Other
285,0,0,51,517312,Information,2013-02-08,Internal - Consultant
286,2055,96566,61,611310,Education,2014-06-06,External - Nation State
287,18,281252,33,332313,Manufacturing,2019-11-01,Internal - Other
288,101,135450,56,561990,Administrative,2014-02-10,NA
289,2,3844,92,921190,Public,2018-07-27,External - Vendor
290,22,27098,44,445110,Retail,2013-12-12,External - Nation State
291,2,3096,53,531210,Real Estate,2011-03-01,NA
292,5322,2760443,61,611310,Education,2013-06-01,Internal - Trusted Third Party (TTP)
293,1849415,1116939,54,541110,Professional,2015-11-10,Internal - Other
294,0,0,51,517919,Information,2020-02-16,External - Nation State
295,919,327909,56,561990,Administrative,2011-12-16,External - Nation State
296,39,112399,51,511210,Information,2019-06-06,External - Hacktivist
297,360,367562,56,561990,Administrative,2011-08-03,External - Terrorist
298,0,0,51,511210,Information,2013-04-07,External - Former Employee
299,11,3077,52,523991,Financial,2011-11-20,Internal - Trusted Third Party (TTP)
300,137,455082,62,622110,Healthcare,2014-11-09,External - Former Consultant
301,12603,3709,44,443142,Retail,2013-02-18,Internal - Employee
302,11,44084,61,611310,Education,2017-06-01,External - Other
303,7,10835,56,561440,Administrative,2020-09-06,External - Former Employee
304,53,44560,33,333921,Manufacturing,2015-01-23,External - Terrorist
305,392,212333,56,561440,Administrative,2020-07-02,External - Terrorist
306,0,0,45,453998,Retail,2014-03-22,External - Nation State
307,0,0,92,921120,Public,2017-11-23,Internal - Trusted Third Party (TTP)
308,184,962757,33,335220,Manufacturing,2018-08-30,External - Criminal Organization
309,19404,1262057,44,448120,Retail,2020-01-28,Internal - Employee
310,58,437,54,541618,Professional,2020-12-05,External - Nation State
311,9,9494,54,541611,Professional,2014-02-28,External - Hacktivist
312,1920,24466,56,561520,Administrative,2015-06-28,External - Former Consultant
313,628,18731,22,221118,Utilities,2020-11-05,External - Other
314,234,64664,72,721110,Hospitality,2018-07-18,Internal - Organization
315,5,2745,71,711190,Entertainment,2011-01-07,External - Criminal Organization
316,2617,1774794,54,541211,Professional,2011-05-31,Internal - Trusted Third Party (TTP)
317,141,110731,56,561990,Administrative,2016-11-30,Internal - Consultant
318,0,0,54,541618,Professional,2020-04-28,Internal - Organization
319,16,25676,56,561320,Administrative,2014-08-31,Internal - Employee
320,319,423477,52,522130,Financial,2017-07-12,Internal - Trusted Third Party (TTP)
321,397,549707,44,447190,Retail,2014-02-07,External - Vendor
322,1414,1723885,56,561311,Administrative,2013-12-17,External - Hacktivist
323,0,0,44,447190,Retail,2016-11-30,External - Vendor
324,77537,256831,56,561440,Administrative,2019-10-15,Internal - Other
325,5,29205,62,621210,Healthcare,2020-10-16,NA
326,140,108581,51,517911,Information,2018-12-13,Internal - Consultant
327,327,462140,54,541611,Professional,2014-10-03,External - Criminal Organization
328,412,1792063,52,522130,Financial,2013-09-09,Internal - Organization
329,562,814,45,454110,Retail,2017-10-17,Internal - Employee
330,5,2714,32,327320,Manufacturing,2013-04-29,Internal - Trusted Third Party (TTP)
331,2,4967,92,921110,Public,2012-05-11,External - Hacktivist
332,1025,18527708,33,339999,Manufacturing,2011-09-01,External - Terrorist
333,5,16416,32,325412,Manufacturing,2019-01-25,External - Criminal Organization
334,118,2489,71,711510,Entertainment,2014-06-16,Internal - Organization
335,6668,301210,44,441110,Retail,2019-06-27,Internal - Employee
336,162,37793,61,611210,Education,2017-07-15,Internal - Consultant
337,4,164759,54,541611,Professional,2016-06-17,External - Former Consultant
338,3,1221,62,621610,Healthcare,2013-11-20,Internal - Trusted Third Party (TTP)
339,8,78766,61,611210,Education,2013-03-02,Internal - Organization
340,0,0,53,531120,Real Estate,2013-08-16,External - Hacktivist
341,0,0,56,561990,Administrative,2017-05-25,External - Former Consultant
342,970,362623,32,327310,Manufacturing,2013-11-25,External - Hacktivist
343,2002,167701,62,621511,Healthcare,2017-03-24,External - Criminal Organization
344,9,1921067,72,722511,Hospitality,2020-10-09,Internal - Employee
345,5,42487,44,443142,Retail,2020-04-29,Internal - Other
346,157,10070393,52,524210,Financial,2015-11-17,External - Former Consultant
347,1,49920,22,221118,Utilities,2015-06-04,Internal - Employee
348,2,5255,56,561990,Administrative,2020-10-29,External - Hacktivist
349,43,304990,62,624410,Healthcare,2018-12-29,External - Terrorist
350,52,32584,72,721110,Hospitality,2015-07-10,External - Former Employee
351,1049,122411,51,517911,Information,2019-05-14,Internal - Organization
352,461,41934,56,561990,Administrative,2020-09-15,External - Hacktivist
353,220,19222096,52,522320,Financial,2017-08-16,External - Former Employee
354,138,2051,56,561612,Administrative,2020-04-24,External - Nation State
355,8,6275,52,524113,Financial,2019-11-11,External - Criminal Organization
356,8,366824,52,524114,Financial,2015-03-30,External - Former Employee
357,1676,38278,56,561499,Administrative,2017-04-15,Internal - Trusted Third Party (TTP)
358,101,135371,52,523910,Financial,2015-11-10,External - Vendor
359,8,234807,48,488119,Transportation,2016-08-04,External - Other
360,113,322908,56,561440,Administrative,2017-05-26,External - Hacktivist
361,1,27333,52,522320,Financial,2011-03-07,External - Nation State
362,0,0,54,541611,Professional,2018-11-13,Internal - Organization
363,107,624,55,551112,Management,2012-03-18,External - Other
364,188585,830500,51,517410,Information,2013-05-28,External - Hacktivist
365,0,0,45,453998,Retail,2019-07-07,NA
366,967,4201,56,561499,Administrative,2013-06-23,Internal - Consultant
367,6,72813,62,621111,Healthcare,2015-02-01,Internal - Consultant
368,2,766185,56,561990,Administrative,2016-11-15,External - Criminal Organization
369,156,17729,61,611310,Education,2012-05-13,Internal - Trusted Third Party (TTP)
370,109,2080,54,541511,Professional,2012-10-04,Internal - Consultant
371,1,20642,92,921120,Public,2015-05-10,External - Criminal Organization
372,10,11134,21,212321,Mining,2014-05-12,Internal - Organization
373,0,0,52,522110,Financial,2014-05-10,External - Vendor
374,307,304,42,424920,Trade,2019-11-30,External - Hacktivist
375,367,3538067,51,517919,Information,2011-12-11,External - Former Employee
376,582,2078311,56,561421,Administrative,2018-04-21,Internal - Consultant
377,3369,3928,45,453998,Retail,2015-04-14,External - Former Employee
378,81,364749,72,722511,Hospitality,2014-07-24,External - Former Employee
379,8,94,52,522110,Financial,2018-09-28,Internal - Organization
380,3048,21356028,44,445110,Retail,2011-10-06,External - Former Employee
381,8,7080327,NA,NA,NA,2014-09-24,External - Criminal Organization
382,12271,37364,11,115310,Agriculture,2014-11-22,External - Vendor
383,2,397,54,541211,Professional,2014-11-02,External - Former Consultant
384,45,206314,42,423430,Trade,2011-01-28,Internal - Employee
385,1,11389297,62,624310,Healthcare,2017-01-26,External - Nation State
386,38,126788,52,522110,Financial,2013-07-28,Internal - Employee
387,39,253484,56,561110,Administrative,2020-10-18,Internal - Trusted Third Party (TTP)
388,0,0,31,311999,Manufacturing,2012-12-02,Internal - Organization
389,76,535864,92,921190,Public,2020-10-28,External - Former Consultant
390,847,5911,56,561990,Administrative,2016-08-06,Internal - Other
391,6183,3821060,81,813110,Other,2016-07-20,Internal - Other
392,524,461395,51,511210,Information,2020-12-08,Internal - Consultant
393,70505,981072,42,423610,Trade,2019-04-04,Internal - Trusted Third Party (TTP)
394,0,0,45,451110,Retail,2013-12-02,Internal - Consultant
395,343,27868,81,811212,Other,2017-03-27,External - Former Consultant
396,72,194779,56,561990,Administrative,2020-09-11,Internal - Trusted Third Party (TTP)
397,17520,140035,62,621111,Healthcare,2015-08-03,Internal - Other
398,0,0,44,445110,Retail,2019-11-14,External - Former Consultant
399,7189,1430122,53,532111,Real Estate,2020-02-24,NA
400,433874,686990,48,488510,Transportation,2012-07-24,External - Terrorist
401,102,8569,61,611110,Education,2018-05-28,External - Hacktivist
402,3779,1226,52,522110,Financial,2020-04-02,External - Nation State
403,55,448200,32,325998,Manufacturing,2013-09-21,External - Vendor
404,3600,1614120,52,522110,Financial,2011-04-30,External - Terrorist
405,30755,25329298,44,446191,Retail,2017-02-21,External - Former Employee
406,4464,1031861,42,423310,Trade,2018-10-01,External - Nation State
407,34,69489,54,541512,Professional,2019-11-19,Internal - Consultant
408,37,266472,56,561440,Administrative,2016-06-24,External - Former Consultant
409,0,0,52,522110,Financial,2012-11-13,External - Criminal Organization
410,2,2595,61,611110,Education,2012-02-29,Internal - Organization
411,9188,285962539,54,541213,Professional,2016-11-16,External - Nation State
412,0,0,61,611110,Education,2012-11-15,External - Nation State
413,52,1218,54,541110,Professional,2014-06-17,External - Other
414,76,3480,52,522110,Financial,2019-04-23,External - Terrorist
415,0,0,54,541910,Professional,2018-08-12,NA
416,1,438758,61,611110,Education,2019-07-16,External - Vendor
417,0,0,62,622110,Healthcare,2017-07-22,External - Criminal Organization
418,130,665441,54,541613,Professional,2019-11-01,External - Former Consultant
419,56,5163,56,561499,Administrative,2011-05-22,External - Vendor
420,0,0,54,541990,Professional,2013-08-24,Internal - Organization
421,6,6830,61,611110,Education,2020-11-14,External - Vendor
422,2320670,838840340,56,561990,Administrative,2015-05-28,External - Former Consultant
423,4612,47957,61,611110,Education,2018-04-15,External - Terrorist
424,2854,221680,52,524210,Financial,2013-11-25,External - Criminal Organization
425,36,57736,72,722511,Hospitality,2013-06-09,Internal - Organization
426,6039,6834,62,621111,Healthcare,2019-08-25,External - Vendor
427,6,278756,55,551112,Management,2011-12-07,External - Former Employee
428,12,64829,56,561110,Administrative,2013-01-19,Internal - Employee
429,6,2801,81,813410,Other,2014-08-05,External - Terrorist
430,520,81307,54,541110,Professional,2014-10-01,External - Vendor
431,6914,26151194,61,611110,Education,2018-01-26,External - Vendor
432,1,15070,72,722513,Hospitality,2013-11-12,External - Former Employee
433,32,992460,22,221122,Utilities,2018-03-16,External - Former Employee
434,35,1000827,71,713990,Entertainment,2011-08-05,External - Other
